CSR_DATASET,CSR_LONGITUDE,CSR_LATITUDE,CSR_ELEVATION,CSR_IGBP,CSR_PRIMARY_PUB,CSR_RECORDS,CSR_GASES,CSR_DATE_BEGIN,CSR_DATE_END,CSR_MSMT_VAR
d20191214_PANG,115.84,40.46,501,Grassland,10.1071/RJ16023,41189,CO2,4/2/2019,11/27/2019,Rs
d20200108_HE,101.2,37.5,3200,Grassland,10.1016/j.soilbio.2018.04.005,129143,CO2,6/1/2008,9/21/2013,Rs
d20200108_JASSAL,-125.34,49.87,350,Evergreen needleleaf forest,10.1111/j.1365-2486.2008.01573.x,784622,CO2,1/1/2006,1/1/2014,Rs
d20200109_HIRANO_PDB,114.0379,-2.3408,15,Evergreen broadleaf forest,10.1111/gcb.12296,86479,CO2,4/16/2004,12/8/2005,Rh
d20200109_HIRANO_PDF,114.0364,-2.3461,15,Evergreen broadleaf forest,10.2480/agrmet.68.2.6,145829,CO2,10/8/2004,4/23/2006,Rs
d20200109_HIRANO_PUF,113.9078,-2.3219,15,Evergreen broadleaf forest,10.2480/agrmet.68.2.6,168268,CO2,7/11/2004,4/10/2006,Rs
d20200109_KISHIMOTO-MO,137.423154,36.146409,1420,Deciduous broadleaf forest,10.1007/s11284-015-1254-6,NA,NA,NA,NA,Rs
d20200114_CARBONE_BURNS,-116.4947222,34.15583333,1235,Desert woodland,NA,11581,CO2,1/17/2004,5/7/2004,Rs
d20200114_CARBONE_JAMES,-116.7769444,33.80722222,1650,Mixed forests,10.5194/bg-7-2147-2010,31227,CO2,10/22/2006,10/29/2007,Rs
d20200114_CARBONE_OWENS_GRASS,-118.4263889,37.41111111,1250,Grassland,10.1029/2007JG000611,7821,CO2,7/19/2005,6/20/2006,"Reco, Rs"
d20200114_CARBONE_OWENS_SHRUB,-118.3577778,37.32138889,1260,Open shrubland,10.1029/2007JG000611,8967,CO2,7/22/2005,6/18/2006,Rs
d20200114_CARBONE_SC_EMBUDO,-119.8102778,34.00805556,427,Evergreen needleleaf forest,10.1007/s00442-011-1975-3,40025,CO2,6/13/2008,10/31/2009,Rs
d20200114_CARBONE_SC_SAUCE,-119.8175,34.00111111,300,Evergreen needleleaf forest,10.1111/gcb.12054,36604,CO2,6/1/2008,10/20/2009,Rs
